DateKey,Date,Day,WeekNr,Month,Monthshort,MonthNo,Quater,Year
20201213,2020-12-13,1,51,December,Dec,12,4,2020
20201214,2020-12-14,2,51,December,Dec,12,4,2020
20201215,2020-12-15,3,51,December,Dec,12,4,2020
20201216,2020-12-16,4,51,December,Dec,12,4,2020
20201217,2020-12-17,5,51,December,Dec,12,4,2020
20201218,2020-12-18,6,51,December,Dec,12,4,2020
20201219,2020-12-19,7,51,December,Dec,12,4,2020
20201220,2020-12-20,1,52,December,Dec,12,4,2020
20201221,2020-12-21,2,52,December,Dec,12,4,2020
20201222,2020-12-22,3,52,December,Dec,12,4,2020
20201223,2020-12-23,4,52,December,Dec,12,4,2020
20201224,2020-12-24,5,52,December,Dec,12,4,2020
20201225,2020-12-25,6,52,December,Dec,12,4,2020
20201226,2020-12-26,7,52,December,Dec,12,4,2020
20201227,2020-12-27,1,53,December,Dec,12,4,2020
20201228,2020-12-28,2,53,December,Dec,12,4,2020
20201229,2020-12-29,3,53,December,Dec,12,4,2020
20201230,2020-12-30,4,53,December,Dec,12,4,2020
20201231,2020-12-31,5,53,December,Dec,12,4,2020
20210101,2021-01-01,6,1,January,Jan,1,1,2021
20210102,2021-01-02,7,1,January,Jan,1,1,2021
20210103,2021-01-03,1,2,January,Jan,1,1,2021
20210104,2021-01-04,2,2,January,Jan,1,1,2021
20210105,2021-01-05,3,2,January,Jan,1,1,2021
20210106,2021-01-06,4,2,January,Jan,1,1,2021
20210107,2021-01-07,5,2,January,Jan,1,1,2021
20210108,2021-01-08,6,2,January,Jan,1,1,2021
20210109,2021-01-09,7,2,January,Jan,1,1,2021
20210110,2021-01-10,1,3,January,Jan,1,1,2021
20210111,2021-01-11,2,3,January,Jan,1,1,2021
20210112,2021-01-12,3,3,January,Jan,1,1,2021
20210113,2021-01-13,4,3,January,Jan,1,1,2021
20210114,2021-01-14,5,3,January,Jan,1,1,2021
20210115,2021-01-15,6,3,January,Jan,1,1,2021
20210116,2021-01-16,7,3,January,Jan,1,1,2021
20210117,2021-01-17,1,4,January,Jan,1,1,2021
20210118,2021-01-18,2,4,January,Jan,1,1,2021
20210119,2021-01-19,3,4,January,Jan,1,1,2021
20210120,2021-01-20,4,4,January,Jan,1,1,2021
20210121,2021-01-21,5,4,January,Jan,1,1,2021
20210122,2021-01-22,6,4,January,Jan,1,1,2021
20210123,2021-01-23,7,4,January,Jan,1,1,2021
20210124,2021-01-24,1,5,January,Jan,1,1,2021
20210125,2021-01-25,2,5,January,Jan,1,1,2021
20210126,2021-01-26,3,5,January,Jan,1,1,2021
20210127,2021-01-27,4,5,January,Jan,1,1,2021
20210128,2021-01-28,5,5,January,Jan,1,1,2021
20210129,2021-01-29,6,5,January,Jan,1,1,2021
20210130,2021-01-30,7,5,January,Jan,1,1,2021
20210131,2021-01-31,1,6,January,Jan,1,1,2021
20210201,2021-02-01,2,6,February,Feb,2,1,2021
20210202,2021-02-02,3,6,February,Feb,2,1,2021
20210203,2021-02-03,4,6,February,Feb,2,1,2021
20210204,2021-02-04,5,6,February,Feb,2,1,2021
20210205,2021-02-05,6,6,February,Feb,2,1,2021
20210206,2021-02-06,7,6,February,Feb,2,1,2021
20210207,2021-02-07,1,7,February,Feb,2,1,2021
20210208,2021-02-08,2,7,February,Feb,2,1,2021
20210209,2021-02-09,3,7,February,Feb,2,1,2021
20210210,2021-02-10,4,7,February,Feb,2,1,2021
20210211,2021-02-11,5,7,February,Feb,2,1,2021
20210212,2021-02-12,6,7,February,Feb,2,1,2021
20210213,2021-02-13,7,7,February,Feb,2,1,2021
20210214,2021-02-14,1,8,February,Feb,2,1,2021
20210215,2021-02-15,2,8,February,Feb,2,1,2021
20210216,2021-02-16,3,8,February,Feb,2,1,2021
20210217,2021-02-17,4,8,February,Feb,2,1,2021
20210218,2021-02-18,5,8,February,Feb,2,1,2021
20210219,2021-02-19,6,8,February,Feb,2,1,2021
20210220,2021-02-20,7,8,February,Feb,2,1,2021
20210221,2021-02-21,1,9,February,Feb,2,1,2021
20210222,2021-02-22,2,9,February,Feb,2,1,2021
20210223,2021-02-23,3,9,February,Feb,2,1,2021
20210224,2021-02-24,4,9,February,Feb,2,1,2021
20210225,2021-02-25,5,9,February,Feb,2,1,2021
20210226,2021-02-26,6,9,February,Feb,2,1,2021
20210227,2021-02-27,7,9,February,Feb,2,1,2021
20210228,2021-02-28,1,10,February,Feb,2,1,2021
20210301,2021-03-01,2,10,March,Mar,3,1,2021
20210302,2021-03-02,3,10,March,Mar,3,1,2021
20210303,2021-03-03,4,10,March,Mar,3,1,2021
20210304,2021-03-04,5,10,March,Mar,3,1,2021
20210305,2021-03-05,6,10,March,Mar,3,1,2021
20210306,2021-03-06,7,10,March,Mar,3,1,2021
20210307,2021-03-07,1,11,March,Mar,3,1,2021
20210308,2021-03-08,2,11,March,Mar,3,1,2021
20210309,2021-03-09,3,11,March,Mar,3,1,2021
20210310,2021-03-10,4,11,March,Mar,3,1,2021
20210311,2021-03-11,5,11,March,Mar,3,1,2021
20210312,2021-03-12,6,11,March,Mar,3,1,2021
20210313,2021-03-13,7,11,March,Mar,3,1,2021
20210314,2021-03-14,1,12,March,Mar,3,1,2021
20210315,2021-03-15,2,12,March,Mar,3,1,2021
20210316,2021-03-16,3,12,March,Mar,3,1,2021
20210317,2021-03-17,4,12,March,Mar,3,1,2021
20210318,2021-03-18,5,12,March,Mar,3,1,2021
20210319,2021-03-19,6,12,March,Mar,3,1,2021
20210320,2021-03-20,7,12,March,Mar,3,1,2021
20210321,2021-03-21,1,13,March,Mar,3,1,2021
20210322,2021-03-22,2,13,March,Mar,3,1,2021
20210323,2021-03-23,3,13,March,Mar,3,1,2021
20210324,2021-03-24,4,13,March,Mar,3,1,2021
20210325,2021-03-25,5,13,March,Mar,3,1,2021
20210326,2021-03-26,6,13,March,Mar,3,1,2021
20210327,2021-03-27,7,13,March,Mar,3,1,2021
20210328,2021-03-28,1,14,March,Mar,3,1,2021
20210329,2021-03-29,2,14,March,Mar,3,1,2021
20210330,2021-03-30,3,14,March,Mar,3,1,2021
20210331,2021-03-31,4,14,March,Mar,3,1,2021
20210401,2021-04-01,5,14,April,Apr,4,2,2021
20210402,2021-04-02,6,14,April,Apr,4,2,2021
20210403,2021-04-03,7,14,April,Apr,4,2,2021
20210404,2021-04-04,1,15,April,Apr,4,2,2021
20210405,2021-04-05,2,15,April,Apr,4,2,2021
20210406,2021-04-06,3,15,April,Apr,4,2,2021
20210407,2021-04-07,4,15,April,Apr,4,2,2021
20210408,2021-04-08,5,15,April,Apr,4,2,2021
20210409,2021-04-09,6,15,April,Apr,4,2,2021
20210410,2021-04-10,7,15,April,Apr,4,2,2021
20210411,2021-04-11,1,16,April,Apr,4,2,2021
